ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
00-01,00. Foundational ADHD Research,Final,,General / Consensus,"Faraone, S. V.; Banaschewski, T.; Coghill, D.; Zheng, Y.; et al.",2021,The World Federation of ADHD International Consensus Statement: 208 evidence-based conclusions about the disorder,Neuroscience & Biobehavioral Reviews,"128, 789-818",International evidence consensus,Lifespan / international,10.1016/j.neubiorev.2021.01.022,https://doi.org/10.1016/j.neubiorev.2021.01.022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8328933/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Foundational; Consensus; Diagnosis; Lifespan; Treatment; Neurodevelopment,00_2021_Faraone_World-Federation-ADHD-Consensus.pdf
00-02,00. Foundational ADHD Research,Final,,General / Clinical Overview,"Posner, J.; Polanczyk, G. V.; Sonuga-Barke, E.",2020,Attention-deficit hyperactivity disorder,The Lancet,"395(10222), 450-462",Major clinical review,Lifespan,10.1016/S0140-6736(19)33004-1,https://doi.org/10.1016/S0140-6736(19)33004-1,https://pmc.ncbi.nlm.nih.gov/articles/PMC7880081/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Foundational; Clinical Overview; Neurodevelopment; Lifespan,00_2020_Posner_ADHD-Lancet-Review.pdf
00-03,00. Foundational ADHD Research,Final,,Executive Function,"Willcutt, E. G.; Doyle, A. E.; Nigg, J. T.; Faraone, S. V.; Pennington, B. F.",2005,Validity of the executive function theory of attention-deficit/hyperactivity disorder: A meta-analytic review,Biological Psychiatry,"57(11), 1336-1346",Meta-analysis,83 studies; ADHD and comparison groups,10.1016/j.biopsych.2005.02.006,https://doi.org/10.1016/j.biopsych.2005.02.006,https://pubmed.ncbi.nlm.nih.gov/15950006/,Not verified as open access,Link only,ADHD; Foundational; Executive Function; Working Memory; Inhibition; Planning,00_2005_Willcutt_Executive-Function-Meta-Analysis.pdf
00-04,00. Foundational ADHD Research,Final,,Emotional Regulation,"Shaw, P.; Stringaris, A.; Nigg, J.; Leibenluft, E.",2014,Emotion dysregulation in attention deficit hyperactivity disorder,American Journal of Psychiatry,"171(3), 276-293",Review,Lifespan,10.1176/appi.ajp.2013.13070966,https://doi.org/10.1176/appi.ajp.2013.13070966,https://pmc.ncbi.nlm.nih.gov/articles/PMC4282137/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Foundational; Emotion Regulation; Emotional Dysregulation; Lifespan,00_2014_Shaw_Emotion-Dysregulation-ADHD.pdf
00-05,00. Foundational ADHD Research,Final,,Genetics,"Demontis, D.; Walters, G. B.; Athanasiadis, G.; Walters, R.; Therrien, K.; et al.",2023,"Genome-wide analyses of ADHD identify 27 risk loci, refine the genetic architecture and implicate several cognitive domains",Nature Genetics,"55(2), 198-208",Genome-wide association study,Large international ADHD and control datasets,10.1038/s41588-022-01285-8,https://doi.org/10.1038/s41588-022-01285-8,https://pmc.ncbi.nlm.nih.gov/articles/PMC10914347/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Foundational; Genetics; GWAS; Cognitive Domains; Neurodevelopment,00_2023_Demontis_ADHD-27-Risk-Loci.pdf
00-06,00. Foundational ADHD Research,Final,,Lifespan / Persistence,"Faraone, S. V.; Biederman, J.; Mick, E.",2006,The age-dependent decline of attention deficit hyperactivity disorder: A meta-analysis of follow-up studies,Psychological Medicine,"36(2), 159-165",Meta-analysis,Childhood ADHD followed into adulthood,10.1017/S003329170500471X,https://doi.org/10.1017/S003329170500471X,https://pubmed.ncbi.nlm.nih.gov/16420712/,Not verified as open access,Link only,ADHD; Foundational; Lifespan; Persistence; Adulthood; Longitudinal,00_2006_Faraone_Age-Dependent-Decline-ADHD.pdf
00A-01,"00A. Evolution, Adaptation & Evolutionary Mismatch",Final,,Adaptation,"Jensen, P. S.; Mrazek, D.; Knapp, P. K.; Steinberg, L.; Pfeffer, C.; Schowalter, J.; Shapiro, T.",1997,Evolution and revolution in child psychiatry: ADHD as a disorder of adaptation,Journal of the American Academy of Child & Adolescent Psychiatry,"36(12), 1672-1679; discussion 1679-1681",Review / theoretical,Childhood ADHD,10.1097/00004583-199712000-00015,https://doi.org/10.1097/00004583-199712000-00015,https://pubmed.ncbi.nlm.nih.gov/9401328/,Not verified as open access,Link only,ADHD; Evolution; Adaptation; Development; Environment,00A_1997_Jensen_ADHD-Disorder-of-Adaptation.pdf
00A-02,"00A. Evolution, Adaptation & Evolutionary Mismatch",Final,,Evolutionary Evidence,"Thagaard, M. S.; Faraone, S. V.; Sonuga-Barke, E. J. S.; Østergaard, S. D.",2016,Empirical tests of natural selection-based evolutionary accounts of ADHD: A systematic review,Acta Neuropsychiatrica,"28(5), 249-256",Systematic review,Evolutionary ADHD literature,10.1017/neu.2016.14,https://doi.org/10.1017/neu.2016.14,https://pubmed.ncbi.nlm.nih.gov/27530703/,Not verified as open access,Link only,ADHD; Evolution; Natural Selection; Systematic Review; Adaptation,00A_2016_Thagaard_Evolutionary-Accounts-ADHD.pdf
00A-03,"00A. Evolution, Adaptation & Evolutionary Mismatch",Final,,Evolutionary Mismatch,"Swanepoel, A.; Music, G.; Launer, J.; Reiss, M. J.",2017,How evolutionary thinking can help us to understand ADHD,BJPsych Advances,"23(6), 410-418",Review / theoretical,ADHD / developmental environment,10.1192/apt.bp.116.016659,https://doi.org/10.1192/apt.bp.116.016659,https://www.cambridge.org/core/journals/bjpsych-advances/article/how-evolutionary-thinking-can-help-us-to-understand-adhd/A4BBE292EB44B2230294367A4ACB3F88,Publisher access varies,Link only,ADHD; Evolution; Evolutionary Mismatch; Environment; Adaptation,00A_2017_Swanepoel_Evolutionary-Thinking-ADHD.pdf
00A-04,"00A. Evolution, Adaptation & Evolutionary Mismatch",Final,,Evolutionary Genomics,"Esteller-Cucala, P.; Maceda, I.; Børglum, A. D.; Demontis, D.; Faraone, S. V.; Cormand, B.; Lao, O.",2020,Genomic analysis of the natural history of attention-deficit/hyperactivity disorder using Neanderthal and ancient Homo sapiens samples,Scientific Reports,"10, Article 8622",Evolutionary genomic study,Ancient and modern human genomic datasets,10.1038/s41598-020-65322-4,https://doi.org/10.1038/s41598-020-65322-4,https://www.nature.com/articles/s41598-020-65322-4,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Evolution; Evolutionary Genomics; Ancient DNA; Natural Selection; Mismatch,00A_2020_Esteller-Cucala_Evolutionary-Genomics-ADHD.pdf
