ID,Section,Resource Type,Author / Speaker,Title,Publication / Platform,Date,URL,Why It Matters,Scaffold Relevance,Audience,Access Notes,Status
00-R01,00. Foundational ADHD Research,Mainstream expert Q&A / feature,Zing Tsjeng,"What is ADHD, how do you get a diagnosis and can you only treat it with drugs? All your questions, answered by experts",The Guardian,"November 29, 2024",https://www.theguardian.com/lifeandstyle/2024/nov/29/what-is-adhd-how-do-you-get-a-diagnosis-and-can-you-only-treat-it-with-drugs-all-your-questions-answered-by-experts,"A unusually broad and readable introduction to ADHD that combines the author's lived experience with multiple expert voices. It covers symptoms, diagnosis, lifespan presentation, misinformation, treatment, workplace support, and everyday functioning without reducing ADHD to distractibility.","Especially strong for this website because it explicitly discusses internal scaffolding and concrete external supports such as alarms, reminders, planning sessions, headphones, predictable routines, environmental adjustments, task breakdown, and regular check-ins.",Adults with ADHD; families; partners; employers; newly diagnosed readers; general public,Free Guardian feature,Final
00-R02,00. Foundational ADHD Research,Psychologist-written public article,"Catherine J. Mutti-Driscoll, PhD",Understanding Executive Function Skills and ADHD,Psychology Today,"December 11, 2024",https://www.psychologytoday.com/us/blog/empowerment-is-real/202412/understanding-executive-function-skills-and-adhd,Explains why someone with ADHD can perform exceptionally well on a difficult or interesting task and then struggle with an apparently simple daily activity. It introduces executive function as an uneven profile of brain-based skills rather than a single ability that a person either has or lacks.,"Provides the conceptual map for the entire scaffold approach: sustained attention, inhibition, task initiation, emotional control, working memory, time management, organization, flexibility, planning, persistence, and metacognition can each require different external supports.",Adults and teens with ADHD; parents; educators; clinicians; general readers,Free public Psychology Today article,Final
00-R03,00. Foundational ADHD Research,Mainstream science feature,Lydia Denworth,Kids with ADHD May Still Have Symptoms as Adults,Scientific American,"October 15, 2024",https://www.scientificamerican.com/article/kids-with-adhd-may-still-have-symptoms-as-adults/,"A concise science-journalism explanation of the modern understanding that ADHD often persists into adulthood, may look different with age, and can fluctuate substantially with life circumstances and environmental demands.",The article notes that environment can turn the volume of ADHD difficulties up or down. That is central to scaffolding: a person may function well when structure and support are strong and struggle sharply when those supports disappear or demands increase.,General readers; adults with ADHD; parents; clinicians; educators,Scientific American feature; subscription access may vary,Final
00-R04,00. Foundational ADHD Research,Mainstream reported feature / lived experience,Bianca Nogrady,Adult ADHD diagnosis: 'You've got to relook at your entire life',The Guardian,"October 7, 2022",https://www.theguardian.com/society/2022/oct/08/adult-adhd-diagnosis-youve-got-to-relook-at-your-entire-life,"Combines expert reporting with adults describing what ADHD looked like before they had language for it: household disorganization, intense emotions, hyperfocus, sensory distraction, paperwork difficulty, exhaustion, and years of negative self-interpretation.","Shows why scaffolds can be invisible when they are working. Adults may compensate through partners, routines, work structure, crisis-driven focus, or tremendous effort until a life change removes those supports and previously manageable difficulties become impairing.",Adults with ADHD; families; newly diagnosed readers; clinicians; general public,Free Guardian feature,Final
00-R05,00. Foundational ADHD Research,Mainstream podcast / cultural discussion,Brittany Luse with Kelli Maria Korducki and Manvir Singh,Think you have ADHD? Here's why so many of us are saying yes.,"NPR, It's Been a Minute","April 25, 2025",https://www.npr.org/2025/04/25/1247139346/its-been-a-minute-adhd-social-media-tik-tok,"A useful cultural companion to the clinical literature. The discussion examines the surge in adult ADHD awareness, social-media self-recognition, diagnosis culture, and the tension between increased access to useful language and oversimplified online symptom lists.",Helps readers separate recognition from diagnosis and encourages using public ADHD content as a starting point for understanding patterns rather than as proof that every relatable behavior is an ADHD symptom. That makes the website's scaffold material more responsible and easier to contextualize.,General public; adults wondering about ADHD; younger adults; families; clinicians,Free NPR podcast with transcript,Final
00A-R01,"00A. Evolution, Adaptation & Evolutionary Mismatch",Mainstream science report,Nicola Davis,"ADHD may have been an evolutionary advantage, research suggests",The Guardian,"February 21, 2024",https://www.theguardian.com/science/2024/feb/21/adhd-may-have-been-an-evolutionary-advantage-research-suggests,"Reports on a 2024 foraging experiment in which adults with higher ADHD-like symptom scores switched resource patches more often and earned more points. The article also clearly reports the study's limitations, including self-reported screening rather than clinical diagnosis.",Provides a concrete example of environment-dependent performance: a trait that creates difficulty in one setting may be useful in another. That is central to designing scaffolds around fit rather than assuming every ADHD trait must simply be suppressed.,Adults with ADHD; families; educators; clinicians; general readers,"Free Guardian science article. Treat the evolutionary interpretation as suggestive, not established proof of an adaptive origin for ADHD.",Final
00A-R02,"00A. Evolution, Adaptation & Evolutionary Mismatch",Psychiatrist-written public essay,"Ralph Lewis, MD",Is ADHD a Real Disorder or One End of a Normal Continuum?,Psychology Today,"January 6, 2021",https://www.psychologytoday.com/us/blog/finding-purpose/202101/is-adhd-real-disorder-or-one-end-normal-continuum,"Lewis presents ADHD as both a clinically impairing neurodevelopmental condition and a dimensional set of traits whose consequences depend partly on social demands. He uses evolutionary mismatch to explain why modern schools and workplaces may amplify difficulties with sustained low-stimulation effort, delayed rewards, and rigid schedules.","A strong philosophical fit for the project: impairment is real, but environment matters. Scaffolds can reduce the mismatch between a person's attentional and motivational profile and the demands of the setting without denying the underlying disorder.",Adults with ADHD; clinicians; educators; families; general readers,Free Psychology Today article. Evolutionary mismatch is presented as an interpretive model rather than settled etiology.,Final
00A-R03,"00A. Evolution, Adaptation & Evolutionary Mismatch",Science podcast / research report,Cynthia Graber,ADHD Genetics Sometimes Beneficial,"Scientific American, 60-Second Science","June 13, 2008",https://www.scientificamerican.com/podcast/episode/800f0fcd-f580-32f3-65a672bf6c41085d/,"Summarizes a frequently cited study of Kenyan Ariaal men carrying a DRD4 variant associated with novelty seeking and ADHD-related traits. The variant was associated with better nutritional status among nomadic men but poorer status among settled men, suggesting that the same biological trait can have different consequences in different environments.","A memorable example of goodness-of-fit thinking: rather than asking whether a trait is universally good or bad, ask what demands the environment places on it and whether the environment can be changed.",General readers; adults with ADHD; students; educators; clinicians,Free Scientific American podcast transcript. This is a report about one gene-association study and should not be interpreted as evidence for a single 'ADHD gene' or proof of the hunter hypothesis.,Final
00A-R04,"00A. Evolution, Adaptation & Evolutionary Mismatch",Mainstream reported feature / lived experience,Talia Barrington,"For some elite athletes, neurodivergence can be a super strength",The Washington Post,"November 1, 2024",https://www.washingtonpost.com/wellness/2024/11/01/adhd-autism-hyperfocus-elite-atheletes/,"Uses elite sport to show how neurodivergent traits can look markedly different across environments. The piece discusses athletes who struggled in classrooms or social settings but functioned exceptionally well in highly stimulating, structured, physically demanding contexts.","Illustrates evolutionary mismatch in a modern setting. Clear goals, movement, immediate feedback, repetition, sensory regulation, and meaningful challenge can reduce impairment and reveal capacities that are obscured in environments built around prolonged sitting and diffuse expectations.",Adults and teens with ADHD; athletes; coaches; educators; families; general readers,"Washington Post feature; access may vary. The article discusses evolutionary mismatch as one explanatory framework, not a demonstrated origin story for ADHD.",Final
00A-R05,"00A. Evolution, Adaptation & Evolutionary Mismatch",Historical mainstream feature,TIME staff,BEHAVIOR: Hail to The Hyperactive Hunter,TIME,"July 18, 1994","https://content.time.com/time/subscriber/article/0,33009,981099,00.html","A useful historical artifact showing how Thom Hartmann's hunter-versus-farmer hypothesis entered mainstream discussion in the 1990s. It framed impulsivity, high energy, distractibility, and rapid decision-making as traits that might have been advantageous in some ancestral roles.",Helps readers understand the origin of a popular ADHD narrative and why it remains attractive: it shifts the question from defect to context. It is best paired with modern research so readers can distinguish an influential metaphor from established evolutionary evidence.,General readers; adults with ADHD; students; clinicians interested in the history of ADHD ideas,TIME archive article; subscription access may vary. Historical and speculative. Do not present the hunter-versus-farmer hypothesis as established scientific fact.,Final
